date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2007-10-19,89.76,90.65,89.32,89.93,9126200,89.76,90.65,89.32,89.93,9126200,0.0,1.0,1
2007-10-22,91.29,91.69,89.02,89.25,9868400,91.29,91.69,89.02,89.25,9868400,0.0,1.0,1
2007-10-23,100.82,101.09,94.21,95.28,41761800,100.82,101.09,94.21,95.28,41761800,0.0,1.0,1
2007-10-24,88.73,90.88,83.27,90.87,41617400,88.73,90.88,83.27,90.87,41617400,0.0,1.0,1
2007-10-25,88.21,89.5,86.32,88.23,11630900,88.21,89.5,86.32,88.23,11630900,0.0,1.0,1
2007-10-26,90.0,90.88,87.7,89.0,8826200,90.0,90.88,87.7,89.0,8826200,0.0,1.0,1
2007-10-29,90.1,91.47,89.48,90.41,7097200,90.1,91.47,89.48,90.41,7097200,0.0,1.0,1
2007-10-30,88.24,90.65,88.05,89.67,5405400,88.24,90.65,88.05,89.67,5405400,0.0,1.0,1
2007-10-31,89.15,89.6,87.0,88.05,7044800,89.15,89.6,87.0,88.05,7044800,0.0,1.0,1
2007-11-01,87.65,89.58,86.5,87.75,8265700,87.65,89.58,86.5,87.75,8265700,0.0,1.0,1
2007-11-02,85.98,88.12,83.5,88.0,10230500,85.98,88.12,83.5,88.0,10230500,0.0,1.0,1
2007-11-05,84.37,86.02,82.76,84.83,7453100,84.37,86.02,82.76,84.83,7453100,0.0,1.0,1
2007-11-06,87.27,87.5,84.37,84.6,7934000,87.27,87.5,84.37,84.6,7934000,0.0,1.0,1
2007-11-07,87.0438,89.16,86.16,86.41,8397800,87.0438,89.16,86.16,86.41,8397800,0.0,1.0,1
2007-11-08,83.58,86.96,81.4,86.8,11803200,83.58,86.96,81.4,86.8,11803200,0.0,1.0,1
2007-11-09,78.89,82.42,78.84,82.42,11620200,78.89,82.42,78.84,82.42,11620200,0.0,1.0,1
2007-11-12,77.0,80.09,76.5,78.26,9396900,77.0,80.09,76.5,78.26,9396900,0.0,1.0,1
2007-11-13,79.86,80.05,77.8,77.91,9496300,79.86,80.05,77.8,77.91,9496300,0.0,1.0,1
2007-11-14,78.51,81.15,78.15,80.4,8427400,78.51,81.15,78.15,80.4,8427400,0.0,1.0,1
2007-11-15,77.85,79.73,76.7,79.43,7831500,77.85,79.73,76.7,79.43,7831500,0.0,1.0,1
2007-11-16,78.6,78.99,76.63,77.01,7114100,78.6,78.99,76.63,77.01,7114100,0.0,1.0,1
2007-11-19,79.18,79.75,77.94,78.83,8649800,79.18,79.75,77.94,78.83,8649800,0.0,1.0,1
2007-11-20,80.39,82.0,78.31,79.86,11610000,80.39,82.0,78.31,79.86,11610000,0.0,1.0,1
2007-11-21,79.76,80.86,78.65,79.24,6678300,79.76,80.86,78.65,79.24,6678300,0.0,1.0,1
2007-11-23,81.43,81.45,78.98,80.11,2780900,81.43,81.45,78.98,80.11,2780900,0.0,1.0,1
2007-11-26,81.3035,84.49,81.14,82.3,8610500,81.3035,84.49,81.14,82.3,8610500,0.0,1.0,1
2007-11-27,85.59,85.65,82.21,82.92,8634200,85.59,85.65,82.21,82.92,8634200,0.0,1.0,1
2007-11-28,90.3,90.57,86.75,87.55,11403400,90.3,90.57,86.75,87.55,11403400,0.0,1.0,1
2007-11-29,89.15,91.47,88.68,89.89,6977100,89.15,91.47,88.68,89.89,6977100,0.0,1.0,1
2007-11-30,90.56,91.08,88.3148,90.56,6881600,90.56,91.08,88.3148,90.56,6881600,0.0,1.0,1
2007-12-03,90.91,92.25,89.77,90.03,6000500,90.91,92.25,89.77,90.03,6000500,0.0,1.0,1
2007-12-04,94.41,94.56,90.04,90.04,7337900,94.41,94.56,90.04,90.04,7337900,0.0,1.0,1
2007-12-05,93.19,94.99,91.98,94.99,6608600,93.19,94.99,91.98,94.99,6608600,0.0,1.0,1
2007-12-06,94.21,95.0,92.83,93.28,5472700,94.21,95.0,92.83,93.28,5472700,0.0,1.0,1
